TimeOccurred,AreaID,AreaName,ReportingDistrict,CrimeCode,CrimeCodeDescription,VictimAge,VictimSex,VictimDescent,PremiseCode,PremiseDescription,WeaponUsedCode,WeaponDescription,StatusCode,StatusDescription,Address,CrossStreet,Location
1630,1,Central,142,755,BOMB SCARE,,M,X,203,OTHER BUSINESS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,300 S  GRAND                        AV,,"34.053,-118.2513"
1915,1,Central,158,510,VEHICLE - STOLEN,10,,,101,STREET,,,IC,Invest Cont,7TH                          ST,CENTRAL                      AV,"34.0364,-118.2406"
100,1,Central,155,220,ATTEMPTED ROBBERY,49,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,6TH,MAPLE,"34.0435,-118.2471"
800,1,Central,191,510,VEHICLE - STOLEN,10,,,101,STREET,,,IC,Invest Cont,GEORGIA                      ST,18TH                         ST,"34.0363,-118.2733"
1430,1,Central,152,440,THEFT PLAIN - PETTY ($950 & UNDER,13,M,O,738,LIBRARY,,,IC,Invest Cont,600 W  5TH                          ST,,"34.0502,-118.254"
1840,1,Central,153,210,ROBBERY,57,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,500 S  BROADWAY,,"34.0481,-118.2507"
2230,1,Central,185,510,VEHICLE - STOLEN,10,,,101,STREET,,,IC,Invest Cont,300 E  9TH                          ST,,"34.0401,-118.2533"
830,1,Central,138,624,BATTERY - SIMPLE ASSAULT,18,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,4TH,TOWNE                        AV,"34.0439,-118.2399"
1520,1,Central,153,210,ROBBERY,48,M,B,109,PARK/PLAYGROUND,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,600 S  HILL                         ST,,"34.0474,-118.2531"
1600,1,Central,146,624,BATTERY - SIMPLE ASSAULT,47,M,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE",IC,Invest Cont,200    WINSTON                      ST,,"34.0467,-118.247"
700,1,Central,156,440,THEFT PLAIN - PETTY ($950 & UNDER,51,M,W,101,STREET,,,IC,Invest Cont,6TH,SAN PEDRO,"34.0423,-118.2452"
